304694,2017-03-22,272.45,"Sobe - Cranberry Grapefruit,2.02,18.94","Sauce - White, Mix,1.03,1.95","Cheese - Cheddar, Old White,1.80,11.98","Cake - French Pear Tart,1.96,10.32","Cake - Night And Day Choclate,1.59,1.85","Halibut - Whole, Fresh,3.49,3.22","Lamb Shoulder Boneless Nz,1.91,18.63","Nut - Almond, Blanched, Whole,4.03,18.86","Flavouring - Rum,1.79,12.26","Nantucket Cranberry Juice,2.67,10.56","Tomato Paste,3.09,1.45","Lamb - Shoulder, Boneless,2.50,4.50","Lamb - Ground,2.23,10.80","Capon - Whole,4.07,9.88","Container - Hngd Cll Blk 7x7x3,2.44,22.05","Salmon - Atlantic, No Skin,3.19,24.08","Lamb - Bones,1.60,10.80","Cheese - Cheddar With Claret,1.41,7.57","Grapes - Red,3.07,27.08","Beef - Rib Eye Aaa,4.01,13.91","Yams,3.00,10.40","Wine - Riesling Alsace Ac 2001,4.04,2.91","Salt - Kosher,2.02,18.45",0,0,0,0,0,0 
367826,2017-06-10,55.62,"Pork Loin Bine - In Frenched,3.06,9.19","Puree - Mango,2.42,11.81","Hand Towel,1.49,13.77","Veal - Round, Eye Of,3.13,20.85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367826,2017-12-18,59.34,"Calypso - Pineapple Passion,2.85,22.02","Yoghurt Tubes,2.24,15.33","Pork - Loin, Center Cut,3.72,21.98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883916,2017-09-29,358.58,"Blueberries - Frozen,3.86,3.09","Flavouring - Rum,2.69,18.34","Energy Drink Bawls,2.61,22.02","Curry Powder,1.44,6.25","Lamb - Shoulder, Boneless,1.32,2.37","Pear - Halves,3.64,35.97","Bread - Olive Dinner Roll,3.37,11.83","Nantucket - Kiwi Berry Cktl.,1.83,0.70","Beef - Tenderloin - Aa,1.55,10.74","Cheese - Cream Cheese,1.91,11.29","Cheese - Cheddar, Mild,1.31,10.65","Pear - Halves,3.60,35.59","Dooleys Toffee,3.26,27.41","Sauce - Oyster,1.70,7.74","Napkin - Dinner, White,2.37,11.81","Pastry - Baked Scones - Mini,3.74,20.62","Bread Crumbs - Panko,1.50,4.49","Spinach - Spinach Leaf,2.95,2.48","Beans - Soya Bean,4.19,30.57","Nut - Cashews, Whole, Raw,3.95,30.88","Flour - Strong,3.46,13.76","Strawberries,1.60,12.83","Quail Eggs - Canned,3.93,21.83","Chips Potato All Dressed - 43g,3.79,5.30",0,0,0,0,0
419094,2018-01-30,473.12,"Calypso - Pineapple Passion,2.05,15.80","Cactus Pads,1.43,1.55","Container Clear 8 Oz,3.96,32.44","Energy Drink - Franks Pineapple,1.26,9.44","Pomegranates,2.63,14.68","Table Cloth 90x90 Colour,2.59,25.45","Mace Ground,2.98,1.61","Muffin Orange Individual,4.01,2.60","Beef - Ox Tail, Frozen,3.72,27.93","Table Cloth 81x81 Colour,3.07,23.85","Juice - Happy Planet,3.78,4.65","Pastry - Baked Scones - Mini,2.84,8.59","Asparagus - White, Canned,3.71,23.72","Cocoa Powder - Dutched,4.08,37.09","Pepper - Orange,4.06,34.88","Pastry - Baked Scones - Mini,3.14,17.31","Energy Drink - Franks Pineapple,2.54,18.93","Lamb - Ground,1.26,6.08","Wine - Lamancha Do Crianza,1.90,14.85","Breakfast Quesadillas,4.02,20.87","Pie Filling - Cherry,3.49,19.48","Lemonade - Pineapple Passion,1.39,11.50","Ham - Cooked Italian,2.52,15.89","Wine - White, Chardonnay,4.02,18.86","Cocoa Powder - Dutched,3.56,32.37","Wine - White, Colubia Cresh,2.49,10.46","Bread - Malt,3.15,5.14","Spinach - Spinach Leaf,2.10,1.77","Ham - Cooked Italian,2.43,15.34"
419094,2018-02-14,227.66,"Wine - Cotes Du Rhone Parallele,3.70,36.01","Cookie - Dough Variety,3.94,21.08","Mix - Cocktail Strawberry Daiquiri,1.68,15.29","Bread - Crusty Italian Poly,1.72,13.53","Eggs - Extra Large,1.99,4.08","Muffin Orange Individual,1.34,0.87","Eel Fresh,1.24,9.63","Pepper - Gypsy Pepper,2.03,15.17","Coffee - Cafe Moreno,2.77,26.18","Wine - Red Oakridge Merlot,3.13,17.76","Octopus - Baby, Cleaned,4.10,19.19","Yogurt - Banana, 175 Gr,1.85,0.54","Mix - Cocktail Ice Cream,2.32,14.50","Paste - Black Olive,3.72,1.71","Cake - Cheese Cake 9 Inch,2.76,17.16","Oil - Hazelnut,1.07,5.41","Capon - Whole,3.93,9.55",0,0,0,0,0,0,0,0,0,0,0,0
419094,2018-02-23,262.52,"Pears - Anjou,3.06,25.07","Ranchero - Primerba, Paste,1.95,8.52","Blue Curacao - Marie Brizard,1.01,4.95","Glycerine,1.35,9.22","Nut - Cashews, Whole, Raw,2.36,18.44","Salt - Rock, Course,4.02,11.77","Coffee - Hazelnut Cream,1.76,10.66","Coffee - Flavoured,1.75,4.33","Bread - Roll, Whole Wheat,3.14,23.51","Sterno - Chafing Dish Fuel,2.48,12.94","Lid - 3oz Med Rec,2.43,15.16","Longos - Grilled Veg Sandwiches,2.55,22.57","Lettuce - Escarole,2.55,10.05","Juice - Grapefruit, 341 Ml,3.20,27.38","Dooleys Toffee,2.46,20.71","Wine - Cotes Du Rhone Parallele,1.62,15.81","Water - San Pellegrino,2.98,11.45","Sprouts - Onion,3.69,3.18","Wine - Bouchard La Vignee Pinot,3.42,6.80",0,0,0,0,0,0,0,0,0,0
206887,2018-02-17,131.62,"Wine - Acient Coast Caberne,1.71,2.08","Chips - Assorted,3.85,31.46","Lid - High Heat, Super Clear,3.35,9.88","Sour Puss Sour Apple,4.19,24.10","Eggs - Extra Large,3.98,8.16","Cheese - St. Paulin,1.27,10.27","Bread - Olive Dinner Roll,3.22,11.31","Tomato - Plum With Basil,1.79,7.92","Pears - Anjou,3.23,26.45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206887,2018-02-20,50.81,"Pepper - Green, Chili,2.17,21.03","Sloe Gin - Mcguinness,2.77,1.83","Cheese - Havarti, Salsa,1.52,7.68","Nut - Pine Nuts, Whole,1.01,7.98","Apple - Macintosh,2.27,12.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159998,2017-05-10,322.54,"Cookies - Englishbay Wht,3.23,8.33","Chicken - White Meat With Tender,1.49,13.27","Wine - White, Chardonnay,1.23,5.76","Ranchero - Primerba, Paste,2.54,11.07","Noodles - Steamed Chow Mein,1.10,5.67","Tuna - Bluefin,4.00,16.15","Capon - Whole,3.55,8.62","Blue Curacao - Marie Brizard,1.95,9.59","Creme De Cacao Mcguines,2.33,3.38","Hand Towel,3.64,33.78","Wine - Shiraz Wolf Blass Premium,2.62,19.96","Wine - Red, Black Opal Shiraz,2.97,24.01","Ranchero - Primerba, Paste,2.58,11.27","Tea - Black Currant,3.73,9.89","Sloe Gin - Mcguinness,2.90,1.91","Cookie - Dough Variety,2.37,12.66","Pie Filling - Cherry,1.00,5.60","Wine - Saint Emilion Calvet,4.16,20.30","Beer - Sleeman Fine Porter,2.96,22.26","Pepsi - 600ml,4.19,30.45","Wine - Casablanca Valley,3.87,15.47","Fudge - Chocolate Fudge,4.10,33.14",0,0,0,0,0,0,0
159998,2017-08-14,82.07,"Muffin Hinge Container 6,2.40,1.39","Fruit Salad Deluxe,2.98,23.54","Shrimp, Dried, Small / Lb,2.45,17.71","Cheese - St. Paulin,2.27,18.32","Sambuca - Opal Nera,4.11,21.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159998,2017-09-22,184.69,"Smoked Paprika,2.52,15.61","Salt - Rock, Course,3.15,9.22","Lid - 3oz Med Rec,2.49,15.50","Icecream Cone - Areo Chocolate,1.22,2.58","Bread Foccacia Whole,3.10,20.86","Rum - Mount Gay Eclipes,2.42,6.93","Eel Fresh,1.21,9.41","Wine - Red, Cabernet Merlot,1.34,7.46","Wine - Red, Mouton Cadet,3.43,22.94","Marjoram - Fresh,3.33,18.30","Wine - Muscadet Sur Lie,2.08,2.70","Salt - Rock, Course,2.06,6.05","Crackers - Water,1.55,6.57","Salmon - Canned,2.88,6.62","Pastry - Baked Scones - Mini,2.77,15.31","Sugar - Icing,2.70,18.62",0,0,0,0,0,0,0,0,0,0,0,0,0
458844,2017-03-01,373.09,"Lamb - Racks, Frenched,1.24,12.33","Cheese - Grana Padano,1.41,3.02","Cookie - Dough Variety,3.15,16.84","Oil - Sesame,3.96,28.53","Ginger - Pickled,3.64,34.55","Capicola - Hot,1.59,9.76","Veal - Insides, Grains,2.09,3.77","Sugar - Crumb,3.75,37.38","Gherkin,1.09,0.87","Table Cloth 81x81 Colour,3.35,26.03","Pasta - Fusili, Dry,2.63,16.94","Flour - Rye,1.31,3.68","Pork - Ham, Virginia,2.15,16.25","Soup - Campbells, Chix Gumbo,3.03,17.07","Sour Puss Sour Apple,3.26,18.77","Cheese - Swiss Sliced,2.51,12.43","Fennel - Seeds,2.13,15.40","Beef Cheek Fresh,4.06,25.89","Garlic - Primerba, Paste,4.11,26.30","Pork - Butt, Boneless,2.12,13.59","Wine - White, Ej,2.60,6.57","Juice - Cranberry, 341 Ml,2.86,14.92","Flavouring - Rum,1.39,9.52","Bread Bowl Plain,3.86,2.70",0,0,0,0,0
458844,2017-03-07,151.70,"Blueberries - Frozen,2.42,1.93","Tofu - Firm,3.67,3.19","Yogurt - Assorted Pack,2.48,17.87","Bread - Crusty Italian Poly,3.37,26.44","Beef - Inside Round,1.01,5.75","Kiwi Gold Zespri,3.33,9.49","Cucumber - English,1.72,9.94","Pork - Loin, Center Cut,2.81,16.61","Juice - Happy Planet,1.30,1.59","Pasta - Fusili, Dry,2.61,16.78","Cookie Chocolate Chip With,2.06,3.77","Ice Cream - Fudge Bars,3.86,26.12","Salt - Kosher,1.34,12.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458844,2017-11-03,130.73,"Bread - Crusty Italian Poly,1.21,9.40","Rabbit - Saddles,3.07,14.28","Cheese - Havarti, Roasted Garlic,2.17,11.99","Wine - Cotes Du Rhone,2.85,25.09","Mackerel Whole Fresh,2.50,16.32","Cheese - Goat,1.56,1.81","Soup - Campbellschix Stew,1.51,9.46","Wonton Wrappers,2.82,3.46","Tofu - Firm,1.77,1.54","Pork - Ham Hocks - Smoked,3.97,12.92","Chips Potato All Dressed - 43g,3.90,5.46","Cookie Dough - Chocolate Chip,2.45,12.16","Trout - Rainbow, Fresh,1.93,6.85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770889,2017-09-03,393.45,"Garlic - Primerba, Paste,3.08,19.70","Chutney Sauce,3.01,15.56","Juice - Grapefruit, 341 Ml,3.79,32.41","Juice - Cranberry, 341 Ml,4.01,20.95","Sprouts - Peppercress,1.20,10.04","Beef - Bones, Marrow,2.30,4.24","Sweet Pea Sprouts,1.12,10.05","Blueberries - Frozen,2.85,2.28","Yukon Jack,2.80,14.27","Bread - Granary Small Pull,1.29,1.80","Wiberg Super Cure,2.58,6.92","Apricots Fresh,3.94,39.13","Oven Mitt - 13 Inch,2.81,14.43","Wiberg Super Cure,1.65,4.43","Shrimp - 16/20, Iqf, Shell On,1.51,11.05","Wine - Riesling Alsace Ac 2001,2.63,5.91","Noodles - Steamed Chow Mein,1.75,8.97","Wine - Prosecco Valdobiaddene,3.63,12.93","Island Oasis - Strawberry,2.47,3.08","Anchovy Paste - 56 G Tube,3.12,9.14","Fennel - Seeds,2.38,17.22","Shrimp, Dried, Small / Lb,4.09,29.60","Pasta - Fusili, Dry,1.10,7.08","Yogurt - Assorted Pack,3.54,25.56","Mustard - Dijon,2.00,5.49","Lamb Shoulder Boneless Nz,3.94,38.38","Stock - Veal, Brown,2.40,13.75","Capon - Whole,3.74,9.08",0
770889,2017-12-26,138.67,"Eggroll,1.46,2.10","Grapes - Red,3.25,29.74","Yams,4.05,14.05","Wine - Segura Viudas Aria Brut,3.58,34.51","Napkin - Dinner, White,2.30,11.50","Salt - Kosher,1.80,16.46","Yogurt - Raspberry, 175 Gr,2.37,7.22","Juice - Tomato, 10 Oz,1.63,14.09","Pepper - Scotch Bonnet,3.76,9.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625706,2017-12-02,294.00,"Oven Mitt - 13 Inch,3.82,19.59","Beer - Molson Excel,1.49,0.91","Coconut - Shredded, Sweet,3.17,2.31","Mix - Cocktail Ice Cream,3.13,19.59","Rabbit - Saddles,2.72,16.43","Shrimp - 16/20, Iqf, Shell On,3.28,23.94","Isomalt,1.13,1.47","Lid - 0090 Clear,1.97,4.68","Passion Fruit,2.73,23.70","Pork - Bacon,back Peameal,1.59,13.24","Lotus Root,1.15,5.63","Bread Base - Italian,1.26,9.52","Yams,3.28,11.37","Bread - Malt,1.38,2.25","Eel Fresh,2.62,20.38","Bread Base - Italian,3.23,24.44","Daves Island Stinger,2.03,17.93","Bread - Olive Dinner Roll,3.17,11.12","Wine - Acient Coast Caberne,1.53,1.87","Veal - Eye Of Round,2.18,11.90","Mustard - Dijon,1.04,1.25","Latex Rubber Gloves Size 9,1.67,12.67","Soupfoamcont12oz 112con,3.71,13.61","Yams,1.53,5.30","Lotus Root,3.85,18.91",0,0,0,0
325895,2017-06-03,37.19,"English Muffin,3.90,1.83","Bread - Rye,1.65,2.98","Daves Island Stinger,3.15,27.78","Icecream Cone - Areo Chocolate,2.18,4.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325895,2017-07-11,370.15,"Curry Powder,3.46,15.00","Turkey - Ground. Lean,2.18,7.04","Bread Foccacia Whole,3.81,25.61","Lettuce - Treviso,3.41,22.81","Salmon - Atlantic, No Skin,4.04,30.51","Water - Aquafina Vitamin,3.62,17.05","Smoked Paprika,3.21,19.86","Longos - Grilled Veg Sandwiches,2.80,24.76","Bread - Bagels, Mini,3.34,29.67","Campari,2.21,22.06","Lady Fingers,3.82,10.39","Wine - Mas Chicet Rose, Vintage,1.78,2.24","Wine - Semi Dry Riesling Vineland,2.18,21.13","Pork - Liver,3.48,18.86","Doilies - 12, Paper,1.12,1.87","Sesame Seed Black,1.92,2.77","Longos - Grilled Chicken With,2.90,6.12","Tequila Rose Cream Liquor,3.61,25.32","Garlic - Primerba, Paste,3.17,20.32","Grapes - Red,1.39,12.24","Eel - Smoked,2.30,3.56","Venison - Liver,3.83,1.76","Soup - Campbellschix Stew,1.18,7.37","Cake - French Pear Tart,2.62,13.82","Wiberg Super Cure,2.99,8.00",0,0,0,0
522127,2017-06-03,190.89,"Wine - Mas Chicet Rose, Vintage,3.24,4.08","Nectarines,3.03,19.36","Clam - Cherrystone,3.93,17.98","Nut - Cashews, Whole, Raw,2.25,17.59","Marjoram - Fresh,3.99,21.89","Dooleys Toffee,3.45,29.05","Tea - Black Currant,1.15,3.06","Pork - Bacon,back Peameal,3.68,30.69","Pea - Snow,2.91,5.33","Wine - Bouchard La Vignee Pinot,2.21,4.41","Tea - Jasmin Green,3.03,16.07","Strawberries,2.66,21.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522127,2017-10-20,222.44,"Lamb Shoulder Boneless Nz,3.37,32.85","Lemon Grass,2.49,23.43","Asparagus - White, Canned,2.29,14.65","Veal - Slab Bacon,2.58,25.17","Stock - Veal, Brown,1.91,2.66","Sugar - Crumb,2.94,29.33","Brandy - Bar,2.16,1.23","Liners - Banana, Paper,1.01,4.19","Pepper - Gypsy Pepper,1.19,8.89","Ice Cream Bar - Hagen Daz,2.93,23.49","Wine - Montecillo Rioja Crianza,2.86,19.22","Longos - Penne With Pesto,3.29,25.63","Cake - French Pear Tart,1.77,9.33","Cod - Salted, Boneless,1.76,2.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522127,2018-01-22,216.20,"Crackers - Water,1.36,5.74","Wine - Red, Cabernet Sauvignon,2.51,23.00","Wine - Prosecco Valdobiaddene,3.26,11.62","Cookies - Englishbay Wht,2.83,7.31","Cheese - Swiss Sliced,1.50,7.42","Creme De Cacao Mcguines,3.92,5.68","Longos - Cheese Tortellini,3.80,22.33","Wine - Muscadet Sur Lie,1.54,2.01","Yogurt - Peach, 175 Gr,2.00,15.37","Monkfish Fresh - Skin Off,3.16,18.56","Doilies - 12, Paper,3.99,6.67","Lemonade - Pineapple Passion,2.58,21.37","Silicone Parch. 16.3x24.3,2.83,2.24","Wine - Shiraz Wolf Blass Premium,2.70,20.60","Red Currant Jelly,3.17,15.17","Veal - Brisket, Provimi,bnls,3.34,31.12",0,0,0,0,0,0,0,0,0,0,0,0,0
338277,2017-12-09,7.99,"Carbonated Water - Blackberry,3.78,2.49","Bread - Calabrese Baguette,2.32,4.76","Brandy - Bar,1.29,0.74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363967,2018-01-18,165.85,"Coffee - Decaffeinato Coffee,3.81,34.83","Ginger - Pickled,2.24,21.24","Sugar - Icing,2.29,15.83","Chicken - White Meat With Tender,3.20,28.54","Flower - Carnations,2.16,4.10","Pepper - Cubanelle,2.28,3.22","Mustard - Dijon,2.85,7.82","Oil - Grapeseed Oil,1.38,5.52","Apples - Sliced / Wedge,3.57,13.77","Pastry - Baked Scones - Mini,4.13,12.47","Wonton Wrappers,3.45,4.24","Cookie Chocolate Chip With,2.43,4.44","Cheese - Taleggio D.o.p.,3.73,3.02","Wine - Montecillo Rioja Crianza,1.02,6.82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363967,2018-02-21,241.83,"Wine - Acient Coast Caberne,2.21,2.70","Corn Kernels - Frozen,2.48,2.06","Puree - Mango,2.57,12.53","Stock - Veal, Brown,2.34,13.36","Wakami Seaweed,1.03,1.00","Lettuce - Escarole,1.91,7.53","Nantucket - Kiwi Berry Cktl.,4.03,1.53","Salt - Rock, Course,1.04,3.06","Pepsi - 600ml,2.92,21.22","Cheese - Ricotta,2.59,14.96","Sour Cream,3.52,21.91","Chutney Sauce,3.70,19.11","Bread - Calabrese Baguette,3.22,6.60","Eel - Smoked,3.06,4.74","Bread - Rye,4.09,7.40","Taro Root,2.91,15.69","Dawn Professionl Pot And Pan,3.64,14.90","Beef - Ground Medium,4.05,36.39","Nectarines,3.37,21.52","Beef - Inside Round,1.08,6.15","Coffee - Flavoured,3.02,7.46",0,0,0,0,0,0,0,0
282266,2017-06-06,123.61,"Sambuca - Opal Nera,2.43,12.48","Rosemary - Fresh,1.56,14.07","Lettuce - Belgian Endive,3.45,21.64","Lid - 0090 Clear,1.61,3.82","Prunes - Pitted,3.28,29.71","Salt - Rock, Course,4.13,12.10","Crawfish,1.50,4.30","Cake - Sheet Strawberry,2.48,5.58","Asparagus - White, Canned,3.12,19.92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282266,2018-02-22,485.29,"Ice Cream - Super Sandwich,2.74,21.97","Wine - Clavet Saint Emilion,4.06,23.20","Bread - Crusty Italian Poly,2.02,15.83","Juice - Cranberry, 341 Ml,3.50,18.27","Aspic - Light,2.76,7.20","Beer - Molson Excel,1.13,0.69","Vinegar - Champagne,3.81,38.10","Spaghetti Squash,1.92,5.12","Table Cloth 81x81 Colour,2.35,18.30","Ecolab Crystal Fusion,1.35,7.09","Container Clear 8 Oz,2.45,20.06","Sugar - Icing,2.50,17.25","Soup - Campbellschix Stew,4.07,25.44","Lid - 10,12,16 Oz,2.12,18.66","Seedlings - Buckwheat, Organic,1.30,9.22","Wine - White, French Cross,3.81,33.68","Five Alive Citrus,2.20,9.35","Pork - Ham, Virginia,3.79,28.66","Longos - Penne With Pesto,1.17,9.14","Mushroom - Crimini,3.88,11.72","Eggroll,2.44,3.52","Glycerine,4.17,28.56","Flour - Masa De Harina Mexican,2.60,16.12","Cake - Night And Day Choclate,1.87,2.17","Bok Choy - Baby,2.37,21.54","Trueblue - Blueberry 12x473ml,2.17,6.07","Pork Loin Bine - In Frenched,1.35,4.06","Bok Choy - Baby,4.15,37.68","Pork - Ham, Virginia,3.52,26.64"
282266,2018-02-23,260.07,"Tea - Black Currant,1.28,3.39","Pork - Liver,3.39,10.18","Stock - Veal, Brown,4.01,22.92","Sprouts - Onion,1.88,1.62","Maintenance Removal Charge,2.54,4.29","Slt - Individual Portions,4.11,36.37","Tuna - Bluefin,2.10,8.49","Ecolab Crystal Fusion,3.70,19.44","Yogurt - Assorted Pack,1.77,12.76","Carbonated Water - Cherry,1.79,13.97","Blue Curacao - Marie Brizard,3.50,17.19","Slt - Individual Portions,2.86,25.24","Cheese - Grana Padano,3.46,7.41","Bread - Multigrain,2.03,9.76","Wonton Wrappers,2.08,2.56","Lettuce - Escarole,2.21,16.91","Zucchini - Yellow,3.25,19.78","Crawfish,2.40,6.90","Lettuce - Belgian Endive,2.54,15.93","Octopus - Baby, Cleaned,1.06,4.96",0,0,0,0,0,0,0,0,0
332187,2017-03-20,263.87,"Chervil - Fresh,1.96,7.10","Container Clear 8 Oz,3.29,26.99","Wine - Crozes Hermitage E.,4.04,12.90","Five Alive Citrus,3.38,14.38","Lettuce - Treviso,1.84,12.31","Dooleys Toffee,1.05,8.80","Lettuce - California Mix,2.19,16.90","Oil - Sesame,2.23,17.47","Prunes - Pitted,2.40,21.77","Lid - 10,12,16 Oz,2.34,20.62","Oil - Grapeseed Oil,3.67,14.68","Appetizer - Southwestern,1.54,14.98","Lid - High Heat, Super Clear,1.21,4.45","Zucchini - Yellow,1.01,6.12","Marjoram - Fresh,1.39,7.62","Bag Clear 10 Lb,1.94,3.38","Wine - Clavet Saint Emilion,3.93,22.42","Beef - Ground Medium,3.45,30.98",0,0,0,0,0,0,0,0,0,0,0
332187,2017-07-21,165.11,"Soup - Knorr, French Onion,3.91,16.60","Mushroom - Morels, Dry,4.03,30.68","Wine - Red, Cabernet Sauvignon,2.53,23.17","Extract - Raspberry,1.89,2.02","Hand Towel,4.06,37.68","Chicken - White Meat, No Tender,3.59,8.73","Tequila Rose Cream Liquor,1.02,7.17","Pepper - Gypsy Pepper,3.10,23.14","Oil - Sesame,2.03,15.93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450635,2018-01-10,10.77,"Water - Aquafina Vitamin,2.29,10.77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702927,2017-03-08,133.31,"Wine - Red, Cabernet Merlot,2.66,14.81","Sauce - Oyster,1.88,8.55","Lady Fingers,1.60,4.36","Eel Fresh,1.32,10.28","Banana Turning,3.69,34.46","Wine - Mas Chicet Rose, Vintage,3.91,4.92","Oil - Grapeseed Oil,1.12,4.49","Wine - Muscadet Sur Lie,1.33,1.72","Apple - Fuji,3.23,26.66","Yogurt - Assorted Pack,3.19,23.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967354,2017-06-02,1.03,"Shrimp - Baby, Warm Water,3.11,1.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967354,2017-09-29,394.24,"Ecolab Crystal Fusion,1.57,8.25","Beef Flat Iron Steak,3.64,20.30","Bread - Roll, Whole Wheat,2.21,16.49","Chocolate - Pistoles, Lactee, Milk,2.76,16.58","Noodles - Steamed Chow Mein,3.43,17.65","Nut - Cashews, Whole, Raw,3.68,28.75","Pomegranates,3.22,17.96","Wine - Lamancha Do Crianza,3.14,24.55","Nantucket - Kiwi Berry Cktl.,1.24,0.47","Bread - Roll, Whole Wheat,3.65,27.30","Wakami Seaweed,2.74,2.66","Taro Root,2.46,13.24","Plate Pie Foil,1.24,7.49","Soup - Knorr, Chicken Noodle,4.14,28.41","Creme De Cacao Mcguines,1.69,2.45","Cod - Salted, Boneless,1.24,1.68","Eggs - Extra Large,2.59,5.30","Bread - Crusty Italian Poly,4.02,31.55","Placemat - Scallop, White,3.12,26.61","Tea - Jasmin Green,3.65,19.38","Blue Curacao - Marie Brizard,3.48,17.07","Soupfoamcont12oz 112con,3.64,13.36","Longos - Grilled Veg Sandwiches,4.05,35.79","Crawfish,3.40,9.77","Mace Ground,2.26,1.22",0,0,0,0
130149,2017-06-03,365.40,"Sterno - Chafing Dish Fuel,3.07,16.02","Glycerine,3.02,20.63","Tea - Mint,3.28,25.81","Garlic - Primerba, Paste,4.04,25.83","Sauce - Oyster,3.50,15.88","Beef Cheek Fresh,1.89,12.02","Cookie Dough - Chocolate Chip,1.31,6.50","Passion Fruit,3.78,32.85","Cookie - Dough Variety,2.24,11.99","Vodka - Smirnoff,3.38,28.01","Coffee - Hazelnut Cream,1.14,6.92","Flour - Rye,3.92,10.99","Wine - Lamancha Do Crianza,1.52,11.89","Crackers - Trio,3.59,2.37","Veal - Round, Eye Of,2.66,17.75","Pepper - Gypsy Pepper,2.81,20.98","Cheese - Valancey,2.33,21.82","Wine - Mas Chicet Rose, Vintage,1.34,1.68","Spaghetti Squash,1.88,5.02","Yoghurt Tubes,1.29,8.81","Paste - Black Olive,3.83,1.76","Sauce - White, Mix,3.32,6.28","Wine - White, Chardonnay,1.88,8.81","Carbonated Water - Blackberry,2.67,1.76","Wine - Red, Cabernet Merlot,1.87,10.41","Lid - High Heat, Super Clear,2.89,10.65","Fruit Salad Deluxe,1.38,10.87","Coffee - Flavoured,1.18,2.90","Wine - Red, Cooking,2.02,8.19"
130149,2017-10-31,189.71,"Yokaline,2.16,12.51","Noodles - Steamed Chow Mein,2.63,13.53","Wine - White, Colubia Cresh,2.33,9.77","Wine - Sogrape Mateus Rose,1.84,6.82","Cake - Dulce De Leche,1.19,6.35","Isomalt,2.04,2.65","Soup - French Onion,3.03,20.40","Zucchini - Yellow,3.78,22.98","Juice - Happy Planet,4.16,5.12","Tomato Paste,3.22,1.51","Cactus Pads,3.38,25.35","Noodles - Steamed Chow Mein,2.79,14.33","Anisette - Mcguiness,1.32,8.70","Lemon Grass,2.21,20.78","Corn Kernels - Frozen,1.72,5.17","Five Alive Citrus,3.23,13.74",0,0,0,0,0,0,0,0,0,0,0,0,0
457357,2017-07-18,128.95,"Eggroll,1.49,2.14","Sauce - White, Mix,1.84,3.48","Longos - Assorted Sandwich,2.31,17.56","Quail Eggs - Canned,3.89,21.56","Wine - White, Chardonnay,1.59,7.46","Squash - Butternut,3.98,8.63","Bread - Italian Roll With Herbs,1.66,5.09","Crackers - Melba Toast,1.45,9.90","Bread - Calabrese Baguette,1.92,3.94","Rice - Wild,3.92,28.31","Russian Prince,2.24,20.86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457357,2017-11-18,39.71,"Lamb Shoulder Boneless Nz,3.57,34.81","Liners - Banana, Paper,1.19,4.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
